work-id,celex
00000dbc-76cd-11ed-9887-01aa75ed71a1,32022D2391
00012784-19a8-4f6a-8457-fc6291daf9cd,31986D0559
0001386d-4004-11ed-92ed-01aa75ed71a1,32021M10436
00013b08-6be8-11ef-a8ba-01aa75ed71a1,32024D2181
00014bcc-012a-4b01-8fc4-ad58988bceb9,32008M5207
00064e3d-e914-42e1-a764-73be0b2ea7c5,32010R0712
00086d5c-96dd-43d3-af60-e6dcd8e8a83f,32010R0709R(02)
0009141e-001e-4c6c-bc03-c60b496a456a,32001D0539
0009a44b-f735-11e9-8c1f-01aa75ed71a1,32019R1783
000dfcd5-4ce7-445e-8cda-5d0d95411625,32004M3397
000e74ac-3b5d-11f0-8a44-01aa75ed71a1,32025D1064
0010a65c-175c-4ab9-9fa0-421a91557807,32010L0065
0011c005-7687-47a0-8477-030fa59ab927,31998D0591
0015fda5-a37c-11e3-9f91-01aa75ed71a1,32014R0200
00177911-572d-40f1-84d6-9e742fb2d432,32007R0850R(01)
001895f1-14f3-4e83-bdac-ef94aab95f12,32004D0927
001b7b21-b2aa-11ef-acb1-01aa75ed71a1,32024D3083
001bbf29-81cb-11e4-89f7-01aa75ed71a1,32014H0897
001c7bec-a306-11eb-9585-01aa75ed71a1,32002L0090R(01)
001cf2ee-acc8-11e2-ab01-01aa75ed71a1,32013R0345
001f6941-95b1-11ea-aac4-01aa75ed71a1,32020R0646
00201626-3bd3-45cb-bc95-a71bc7a86ce2,32004R0886
0021be4b-0bb9-11ed-b11c-01aa75ed71a1,32022R1292
0024ab63-dd08-11e8-afb3-01aa75ed71a1,32018M9048
00251479-f419-4183-a464-6be1f07accc9,31979D0556
002532b1-f637-11e5-8529-01aa75ed71a1,32016R0452
0027e2df-0e94-11e4-a7d0-01aa75ed71a1,32014R0653
002855a0-2470-45f8-8ba7-09848b3ec03b,32017M8601
002bb41f-e3b4-4539-9fe8-9e7b96bf3030,32007D0768
002e1796-42d3-11e3-ae03-01aa75ed71a1,32013D0634
002ea2f3-9f4a-4405-bf56-6345e2df668c,31996D0644
002fad9a-c0a7-11ee-b164-01aa75ed71a1,32024D0444
003024d9-c20a-11ed-8912-01aa75ed71a1,32023R0571
0030d2b0-5155-49bf-a493-ceb8605c1dc2,32004D0527
00313939-adcd-11ed-8912-01aa75ed71a1,32020R0852R(06)
0031b511-c8b7-4984-90e5-be26235d3346,32000R2450
0031e3ee-16de-4244-9675-0a19dc466b55,31996R0902
0031ea36-4f09-11e6-89bd-01aa75ed71a1,32016D1190
003290ca-ea3e-49b5-a068-71c86a17cc0c,32001D0014
0032dab1-60f5-11ed-92ed-01aa75ed71a1,32022M10845
003320c4-f8ae-11ea-991b-01aa75ed71a1,32020R0877R(02)
00339605-e845-45e8-ba95-bf8449270b12,32000D0751
0033c0b4-f4f8-4a6d-88a6-5e7afb96d2fc,32001D0171
00357287-9a5d-11ea-aac4-01aa75ed71a1,32020R0673
00360831-d5f7-11e9-883a-01aa75ed71a1,32013R0294R(06)
00364a43-34bb-11ed-8b77-01aa75ed71a1,32021R2227R(01)
0036d917-df7b-11ee-a5fe-01aa75ed71a1,32024M11480
00371878-48b5-11e6-9c64-01aa75ed71a1,32013L0010R(03)
00399138-9a5d-11ea-aac4-01aa75ed71a1,32020R0672
003ad5ee-a634-479b-9a35-6a863af70596,31975R0901
003ea028-b50b-11e5-8d3c-01aa75ed71a1,32015R0208R(01)
003eb2e1-c64a-4408-b25c-cb836c6352b0,31982R1230
00405dab-6e19-11ee-9220-01aa75ed71a1,32023D2205
0040a96a-8103-11e4-89f7-01aa75ed71a1,32011R0271R(01)
00422278-6fc7-11e9-9f05-01aa75ed71a1,32016R0127R(04)
00441df0-3829-11ea-ba6e-01aa75ed71a1,32014L0096R(01)
0044fb09-eb93-11e7-9749-01aa75ed71a1,32017R2403
0044fda7-c681-47b9-a334-4676950f6e08,31998D0646
00460306-d30b-4a0d-80c4-5530b97d46ea,32005R1300
00487588-5692-11e4-a0cb-01aa75ed71a1,32007R0834R(05)
00496090-341f-11e9-8d04-01aa75ed71a1,32019R0280
004b77e1-986d-496a-b206-26a32418d3eb,31975D0320R(02)
004ba57e-1188-11e5-8817-01aa75ed71a1,32015H0914
004bca23-b433-4ab9-ab27-fa9a94e29a25,32015M7667
004c0650-823d-488a-ab79-7f31372a3219,31986Y0812(01)
004e5ce1-8f94-11ec-8c40-01aa75ed71a1,32021D0914R(01)
004f85f9-4cba-404f-b934-5c20e02342fc,32004M3477
00513f61-8bf2-4756-ac9e-cee402bdffc0,31993R2916
0053cbe4-8290-11e3-9b7d-01aa75ed71a1,32014D0026
0057c843-367f-11e9-8d04-01aa75ed71a1,32019D0306
00591241-b818-4245-9479-d08b6a05703f,31972Y1212(01)
0059f281-430b-11ee-a8b8-01aa75ed71a1,32023D1662
005a0773-21a6-4473-abe6-30121f5f1507,32011R0584
005bfc36-81db-11e9-9f05-01aa75ed71a1,32019R0885
005cc6b7-0d8c-11e4-a7d0-01aa75ed71a1,32014D0717(01)
005d184f-719e-11e4-b593-01aa75ed71a1,32014R1241
005ddb38-47ce-11ee-bbdc-01aa75ed71a1,32023R0894R(01)
005e15cf-0849-11e7-8a35-01aa75ed71a1,32017D0434
005ef2ea-cac4-11e3-9fe4-01aa75ed71a1,32014D0224
005fcfbe-1083-415f-9b8f-21484a6f1e31,32011R0744
00606bc6-2e93-11e9-8d04-01aa75ed71a1,32004L0054R(03)
0060e3b0-1229-42bd-bd23-3b05657f081e,32005R0111R(02)
00615cd0-37b4-4fd9-a005-b0e6cfdd4423,31982R1985
00628dfb-ff30-4de8-a55b-89f92e1ff6ac,32007M4818
0063de2d-4d9a-11ec-91ac-01aa75ed71a1,32019L1159R(01)
0063fbde-599d-11e8-ab41-01aa75ed71a1,32017R0391R(01)
0064fb0f-5892-11ec-91ac-01aa75ed71a1,32020R0217R(05)
0064fb9e-476b-11e7-aea8-01aa75ed71a1,32017D0943
00662bb4-01d9-4795-ad87-12388db6246e,32004D0732
006649d5-0fe6-425e-a0a9-c06b1701cce4,31981L0334
006653af-8f3a-11e6-ba36-01aa75ed71a1,32016D0770R(01)
0067b4a6-cbf2-11e7-a5d5-01aa75ed71a1,32017D2105
00697924-ef99-4862-8d2d-ab306c7aa231,32008D0161
006ab09a-6ee9-4fb8-a0f9-e5b500d27c06,31983D0461
006c3de3-4179-4823-94ad-965150f347d0,31977R0231
006d7d85-9561-11e5-983e-01aa75ed71a1,32015D2194
006f4fef-a954-11e5-b528-01aa75ed71a1,32015D2367
00700dbe-b007-11e3-86f9-01aa75ed71a1,32014R0249
007414ed-7213-11e4-b593-01aa75ed71a1,32014D0827
0074ebe9-8e59-11ee-8aa6-01aa75ed71a1,32023R2644
007506a2-d457-11e4-9de8-01aa75ed71a1,32015R0477
0076197e-8b31-42db-ba91-dfd3057a0895,32011D0304
0079d592-7b83-11ed-9887-01aa75ed71a1,32022R2448
007b2e62-ac2a-4261-a0a6-78a8cfcc4550,32010D0205
007b4aa3-21db-4694-8bb6-12c785e75c3c,32007M4619
007d8937-90e4-4de7-af29-6a8c2de0c202,31991D0314R(01)
007df460-deb3-41d3-b908-b08c261a2240,32005D0441
007e7e08-b396-40a7-b3ee-30c2912b85b2,31989L0656R(01)
007eb3ae-9890-11ee-b164-01aa75ed71a1,32023D01464
007ec523-f8ad-11ea-991b-01aa75ed71a1,32020R1294
